,amount,symbol,cash,date,signer,receiver,asset
2115,400.209104,USDC,USDC,2022-02-18T10:30:22Z,2fE9pjwjvTAhWz1xYC6y2ZwSEzHZJGnkLhXu4ZUxCcPZ,2fE9pjwjvTAhWz1xYC6y2ZwSEzHZJGnkLhXu4ZUxCcPZ,SOL
2116,8655.685776,USDC,USDC,2022-02-18T10:31:26Z,DTToEXpyDRcU36HEFbmuvEihBshp4S8imKw3txNGEW8g,DTToEXpyDRcU36HEFbmuvEihBshp4S8imKw3txNGEW8g,SOL
2117,1.719352,USDC,USDC,2022-02-18T10:32:23Z,iKpfbzhjGeTCqYmkMUrbsnoJ4U4gaYrDuZdKgyN5ckR,iKpfbzhjGeTCqYmkMUrbsnoJ4U4gaYrDuZdKgyN5ckR,MNGO
2118,112.077647,USDC,USDC,2022-02-18T11:24:12Z,CnKzimngmVSYjE4PJK8UDoT379bFUbKcRNrTM5gjpi8y,CnKzimngmVSYjE4PJK8UDoT379bFUbKcRNrTM5gjpi8y,SOL
2119,10028.781899,USDC,USDC,2022-02-18T11:24:43Z,fJgXL6DtWQwbv74997HkNY56JnUH7Kf2R3VSoY1Qe69,fJgXL6DtWQwbv74997HkNY56JnUH7Kf2R3VSoY1Qe69,SOL
2120,100.689272,USDC,USDC,2022-02-18T11:27:29Z,CvhSu94LmMEwG7TatDkFEdczgUWR4ULVSvyFxui7n5CN,CvhSu94LmMEwG7TatDkFEdczgUWR4ULVSvyFxui7n5CN,SOL
2121,230.345843,USDC,USDC,2022-02-18T12:08:31Z,46AViJSpXuSpiWdo6knrYbV2UUjmhvK2Rp8D3c8THdkV,46AViJSpXuSpiWdo6knrYbV2UUjmhvK2Rp8D3c8THdkV,SOL
2122,1.719352,USDC,USDC,2022-02-18T12:09:38Z,iKpfbzhjGeTCqYmkMUrbsnoJ4U4gaYrDuZdKgyN5ckR,iKpfbzhjGeTCqYmkMUrbsnoJ4U4gaYrDuZdKgyN5ckR,MNGO
2123,928.416028,USDC,USDC,2022-02-18T12:18:39Z,GyAgL4DLYNACxm46ALw8qHb2JVSjJ3wzmDgnvCrvJEdb,GyAgL4DLYNACxm46ALw8qHb2JVSjJ3wzmDgnvCrvJEdb,SOL
2124,5997.672134,USDC,USDC,2022-02-18T12:50:22Z,5MsSoDhuDoSvE2DkripR2byQUBhP1DsVnt5p8y5Wr9WG,5MsSoDhuDoSvE2DkripR2byQUBhP1DsVnt5p8y5Wr9WG,SOL
2125,198.117657,USDC,USDC,2022-02-18T12:52:14Z,5khaJGn7VJ5BMPWFPsdkNoQ2pJ1zA2ZLXuvwDAHRVTCj,5khaJGn7VJ5BMPWFPsdkNoQ2pJ1zA2ZLXuvwDAHRVTCj,SOL
2126,185.683205,USDC,USDC,2022-02-18T12:59:26Z,AzJpxi4hqG69SR7A5A5Lska68zqqiGA1ZevCmPwdg5R5,AzJpxi4hqG69SR7A5A5Lska68zqqiGA1ZevCmPwdg5R5,SOL
2127,2938.272331,USDC,USDC,2022-02-18T13:12:30Z,432DaYkzyf5EWRjJXHD7baJp3f95djNtSTtWPNg1VQUM,432DaYkzyf5EWRjJXHD7baJp3f95djNtSTtWPNg1VQUM,MNGO
2128,15744.532045,USDC,USDC,2022-02-18T13:14:42Z,432DaYkzyf5EWRjJXHD7baJp3f95djNtSTtWPNg1VQUM,432DaYkzyf5EWRjJXHD7baJp3f95djNtSTtWPNg1VQUM,SOL
2129,3004.055533,USDC,USDC,2022-02-18T13:26:33Z,129soXcPUEYUkE7aJzoDkq8tEANtaptoPaf8EQXMo6U9,129soXcPUEYUkE7aJzoDkq8tEANtaptoPaf8EQXMo6U9,SOL
